ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
2507,0,India,Bangladesh,85.8918,25.4989,1162598.06,20-06-04,07-10-04,News,3000,40000000,Monsoonal rain,2
1527,0,Bangladesh,India,89.6291,25.5968,132357.54,11-07-99,03-08-99,News,356,33100003,Monsoonal rain,1
1818,0,Nicaraguaÿ,0,-80.2017,22.3394,69951.26,26-10-01,15-11-01,News,19,27118340,Tropical cyclone,1
1413,0,Bangaldesh,India,91.8551,25.9513,116176.66,05-07-98,22-09-98,News,2632,25000000,Monsoonal rain,2
1641,0, India,0,88.5453,24.0841,155000.88,18-09-00,21-10-00,News,1468,24000000,Monsoonal rain,2
748,0,Chinaÿ,0,115.409,24.6177,444778.53,25-05-93,30-06-93,News,180,17150000,Heavy rain,1
972,0,Bangladesh,0,88.9998,25.7626,15621.62,04-07-95,22-07-95,News,250,15000000,Monsoonal rain,1
1974,0,India,Bangledesh,89.2696,25.8418,276609.37,21-06-02,28-08-02,News,503,15000000,Monsoonal rain,1
3128,0,India,0,95.263,27.5773,103551.73,12-07-07,10-10-07,News,96,11100000,Monsoonal rain,1
1617,0,India,Bangladesh,94.643,27.094,326457.88,02-08-00,30-08-00,News,637,10504000,Monsoonal rain,1
3365,0,Nepal,,84.9232,26.9506,163725.65,18-08-08,24-09-08,News,400,10000000,Heavy monsoon rains,2
3696,FL-2010-000141-PAK,Pakistan,0,73.2579,33.3634,129691.63,27-07-10,15-11-10,News,1750,10000000,Monsoonal Rain,2
1567,0,India,0,85.3527,21.1735,191940.24,29-10-99,12-11-99,News,980,10000000,Tropical cyclone,2
2248,0,Bangladesh,India,90.8538,26.1706,702361.66,11-06-03,10-10-03,News,600,9500000,Monsoonal rain,2
757,0,India,Nepal,89.7567,25.1622,531506.66,08-07-93,13-08-93,News,3083,9370926,Monsoonal rain,2
952,0,China,0,112.827,28.2914,1668229.65,15-05-95,15-08-95,News,1530,7000000,Heavy rain,2
1629,0,Cambodia,Vietnam,106.195,11.5439,208158.42,28-08-00,01-09-00,News,1139,6574000,Monsoonal rain,2
1522,0,China,0,111.673,28.5161,362133.7,23-06-99,03-08-99,News,725,5530000,Heavy rain,1
1012,0,Bangladesh,0,90.2429,25.1334,61580.93,29-09-95,16-10-95,News,400,5300000,Monsoonal rain,1
193,0,Bangladeshÿ,0,90.7053,24.0121,98283.8,27-06-88,15-08-88,News,254,5250000,Monsoonal rain,1
686,0,China,Taiwan,119.806,27.8313,166182.77,29-08-92,02-09-92,News,168,5000000,Heavy rain,1
3136,0,Bangladesh,,91.2336,23.9164,150899.96,21-07-07,15-10-07,News,1071,5000000,Monsoonal rain,1
976,0,Thailand,0,101.558,14.9639,444498.32,01-08-95,09-11-95,News,260,4220000,Heavy rain,2
403,0,Tanzania,0,35.6693,-6.50308,777754.38,03-04-90,01-05-90,News,100,4100000,Heavy rain,2
449,0,China,0,118.563,29.3795,457815,19-08-90,08-09-90,News,559,4041000,Tropical cyclone,1
1090,0,India,0,85.6883,24.7685,171939.46,17-07-96,10-08-96,News,74,4000000,Heavy rain,1
3094,FL-2007-000077-CHN,China,0,112.355,26.2928,1916283.71,06-06-07,17-08-07,News,600,3170000,Heavy rain,1.5
1391,0,China,0,112.799,29.3931,367328.26,17-07-98,05-08-98,News,345,3120000,Heavy rain,2
93,0,India,,84.0726,25.6339,507167.44,15-06-86,20-08-86,News,258,3040000,Monsoonal rain,1
2754,0,India,0,87.9347,21.9409,29111.38,21-10-05,28-10-05,News,13,3000000,Heavy rain,1
2690,0,India,Bangladesh,87.0126,27.4363,823461.88,07-07-05,27-07-05,News,40,3000000,Monsoonal rain,1
2338,0,India,0,85.8936,20.6258,117883.62,27-08-03,20-10-03,News,67,3000000,Monsoonal rain,1
1088,0,India,0,92.3599,27.4105,128966.83,10-07-96,24-07-96,News,82,3000000,Monsoonal rain,1
977,0,China,0,125.154,42.5413,325414.55,25-07-95,28-08-95,News,123,3000000,Heavy rain,2
98,0,India,0,80.187,17.4331,107355.33,15-08-86,22-08-86,News,150,3000000,Monsoonal rain,1
1623,0, Indiaÿ,0,79.2098,17.1335,129459.76,23-08-00,31-08-00,News,162,3000000,Brief torrential rain,2
3122,FL-2007-000096-IND,India,0,88.4871,22.6315,517303.2,03-07-07,22-09-07,News,958,3000000,Monsoonal rain,1.5
